SiteID,Site,NightLight_3km,NightLight_5km,NightLight_10km,Canis_lupus_familiaris_Day,Canis_lupus_familiaris_Night,Cuniculus_paca_Day,Cuniculus_paca_Night,Dasyprocta_azarae_Day,Dasyprocta_azarae_Night,Dasypus_novemcinctus_Day,Dasypus_novemcinctus_Night,Didelphis_albiventris_Day,Didelphis_albiventris_Night,Didelphis_aurita_Day,Didelphis_aurita_Night,Eira_barbara_Day,Eira_barbara_Night,Guerlinguetus_brasiliensis_Day,Guerlinguetus_brasiliensis_Night,Leopardus_pardalis_Day,Leopardus_pardalis_Night,Mazama_gouazoubira_Day,Mazama_gouazoubira_Night,Nasua_nasua_Day,Nasua_nasua_Night,Pecari_tajacu_Day,Pecari_tajacu_Night,Puma_concolor_Day,Puma_concolor_Night,Rat_Day,Rat_Night,Sus_scrofa_Day,Sus_scrofa_Night,Sylvilagus_brasiliensis_Day,Sylvilagus_brasiliensis_Night,Tapirus_terrestris_Day,Tapirus_terrestris_Night,Tayassu_pecari_Day,Tayassu_pecari_Night
16,Morro_do_Diabo,0.00837203,0.00978855,0.018761801,0,0,0,17,415,41,0,15,1,16,0,0,7,0,9,0,2,5,18,36,8,1,13,2,2,0,0,24,0,0,1,57,6,28,0,0
17,Novo_Horizonte,0.094932802,0.097237401,0.629979014,0,0,0,2,120,18,4,38,3,15,0,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0,0,2,0,0,0,1,6,40,0,0
18,Piracicaba1,0.920593023,2.008239985,1.623939991,0,0,0,0,0,0,0,6,1,18,0,0,0,0,15,0,0,1,3,4,6,0,0,0,0,0,2,8,2,1,0,0,0,0,0,0
19,Porangaba,0.256601989,0.412360013,0.430094987,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20,Porto_Ferreira,1.585579991,2.082479954,1.448009968,0,0,0,0,2,2,0,9,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,23,0,0,0,0
21,Mata_Sao_Jose,0.865884006,0.948502004,4.565340042,1,0,0,0,83,20,2,23,0,4,3,26,2,0,28,0,0,2,0,0,3,0,0,0,0,0,5,58,139,31,4,59,0,0,0,0
22,Sao_Jose_Rio_Pardo,0.120008998,0.104506001,0.235854998,8,2,1,4,0,0,0,4,0,6,0,3,8,0,0,3,0,1,0,0,2,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0
23,Sta_Barbara_Oeste,1.001710057,1.202630043,4.45909977,0,0,0,0,0,0,0,21,7,169,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,1,1,0,0,0,0,0,0
24,Sta_Rosa_Viterbo,0.116228998,0.118318997,0.391250998,0,0,0,0,7,0,0,8,0,1,0,0,8,0,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
25,Valparaiso,0.0415859,0.221954003,0.118042998,0,0,0,1,2,1,0,28,0,1,0,0,0,0,0,0,0,0,1,5,0,0,4,2,0,2,0,0,0,0,0,3,0,6,0,0
26,Votuporanga,0.096624501,0.949056983,0.332904994,0,0,0,14,98,25,2,28,0,41,0,0,0,0,0,0,0,5,7,5,0,0,0,0,0,0,0,44,9,5,0,44,0,0,0,0
27,Ipeuna2,0.173724994,0.227390006,0.938365996,3,4,0,0,0,0,1,2,6,4,0,0,2,3,0,0,1,0,2,0,9,3,0,0,2,0,0,0,11,22,3,4,0,0,0,0
28,Angatuba,0.121004,0.087016597,0.317896008,0,0,0,0,13,1,12,40,0,0,15,101,4,0,0,0,0,0,5,0,2,0,2,2,0,0,6,56,4,3,0,0,0,0,0,0
29,Mata_da_Meia_Lua,4.467430115,6.455269814,10.24699974,0,0,0,2,0,0,0,5,0,16,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
30,Ipeuna1,0.123242997,0.137265995,0.692919016,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0
31,Itamonte,0.086518496,0.069204003,0.104815997,1,0,0,2,0,0,0,1,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,36,20,6,0,0,0,0,0,0
32,Mococa,0.141568005,0.243810996,0.203025997,1,0,0,5,44,8,0,9,5,45,0,0,4,0,7,3,0,0,0,0,0,0,1,0,4,1,1,20,0,0,0,4,0,0,33,5
33,Mata_Santa_Genebra,10.5564003,19.86580086,24.07699966,0,1,0,0,0,0,0,5,0,0,0,10,0,0,2,0,1,3,0,0,0,0,0,0,6,2,0,1,0,0,0,0,0,0,0,0
34,P.E._Campos_do_Jordao,0.076663002,0.080540903,0.190798,0,0,0,7,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,1,1,0,40,1,0,0,0,0,0,19,2
35,Intervales,0.0123196,0.010537,0.00919312,1,0,1,16,0,0,0,0,0,0,0,23,4,0,2,1,3,5,2,11,0,0,4,0,3,3,0,6,0,0,0,0,8,18,0,0
36,Ilha_Bela,0.40883401,1.201670051,1.983219981,5,0,0,33,0,0,1,30,0,0,2,27,0,0,65,0,0,1,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0
37,Paranapanema,0.037216399,0.040342402,0.348901004,1,0,0,15,0,0,0,12,6,33,0,16,0,0,0,0,0,1,0,0,7,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
38,Alvinlandia,0.095633902,0.528104007,0.228619993,0,0,0,0,0,0,0,10,0,12,0,1,4,1,0,0,0,3,0,1,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0
39,Cesarino_Afonso,0.00217242,0.00487907,0.0153701,0,0,0,0,14,1,4,17,1,55,0,0,0,0,0,0,0,0,3,4,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
40,Piracaia,0.100703001,0.105757996,0.154033005,2,0,0,0,0,1,0,0,0,1,0,1,3,0,0,0,1,1,2,0,1,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0
41,Piacatu,0.028847899,0.0292092,0.0374397,0,0,0,2,21,0,1,29,1,27,0,0,1,0,0,0,0,0,0,6,8,0,2,2,0,0,0,0,9,8,0,41,3,15,0,0
42,Piracicaba,0.200813994,0.218134001,0.294449002,0,0,0,0,0,0,0,2,0,6,0,4,2,0,0,0,1,5,1,0,0,0,6,4,0,1,0,0,11,4,0,13,0,0,0,0
43,Cristais_Paulista,0.134693995,0.563796997,0.361802012,1,1,0,0,0,0,0,6,0,14,0,0,1,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Valentim_Gentil,0.126780003,0.248898,0.879989982,0,0,0,0,20,0,3,19,0,5,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,12,0,14,0,0,0,0
45,Charqueada,0.123498,0.135242999,0.665094018,0,0,0,0,0,0,0,20,0,27,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0
46,Anhembi,0.084569298,0.088011198,0.093518198,0,0,0,1,3,0,0,13,1,60,0,0,9,0,0,0,0,0,6,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Corumbatai,0.639600992,0.591708004,0.461466014,7,0,0,0,0,0,0,24,0,22,0,0,1,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
